,year,quarter,alc,all,cerealandbake,dairy,fatsandoils,foodathome,foodaway,food,fruitsandveg,meatpoultryfisheggs,otherfood,sugarandsweets
133,2000,2,173.9333333333333,171.4333333333333,187.83333333333334,159.9,146.13333333333333,167.16666666666666,168.33333333333334,167.06666666666666,201.23333333333335,154.33333333333334,155.2,153.36666666666667
134,2000,3,175.4333333333333,173.0,189.36666666666667,161.03333333333333,148.56666666666666,168.86666666666667,169.53333333333333,168.56666666666663,205.0,156.13333333333333,156.63333333333333,154.4333333333333
135,2000,4,176.26666666666665,174.23333333333335,189.9333333333333,161.6,148.79999999999998,169.46666666666667,170.50000000000003,169.33333333333334,209.80000000000004,156.10000000000002,156.26666666666668,153.46666666666667
136,2001,1,177.5666666666667,175.9,191.63333333333333,163.46666666666667,152.9,171.36666666666667,171.83333333333334,171.30000000000004,209.89999999999998,159.33333333333334,158.0,155.73333333333332
137,2001,2,178.5666666666667,177.13333333333335,193.29999999999998,165.0,154.29999999999998,172.9333333333333,173.13333333333333,172.46666666666667,212.33333333333334,161.43333333333334,158.9333333333333,155.16666666666666
138,2001,3,180.03333333333333,177.63333333333333,195.29999999999998,168.86666666666667,158.26666666666668,174.26666666666665,174.63333333333333,173.83333333333334,212.86666666666667,162.06666666666666,160.5,156.26666666666665
139,2001,4,180.96666666666667,177.5,195.13333333333335,170.9333333333333,157.33333333333334,174.96666666666667,175.79999999999998,174.73333333333335,213.4333333333333,162.6,160.9333333333333,155.79999999999998
140,2002,1,182.29999999999998,178.0666666666667,197.1,169.79999999999998,157.29999999999998,175.76666666666665,176.83333333333334,175.93333333333337,222.23333333333335,162.33333333333334,160.29999999999998,158.03333333333333
141,2002,2,183.23333333333335,179.46666666666667,198.33333333333334,168.56666666666666,155.66666666666666,175.79999999999998,177.66666666666666,175.9333333333333,220.9333333333333,162.66666666666666,160.73333333333332,158.73333333333332
142,2002,3,183.96666666666667,180.4333333333333,198.56666666666663,167.03333333333333,154.76666666666668,175.26666666666665,178.83333333333334,176.13333333333333,220.23333333333335,161.86666666666667,160.66666666666666,159.9
143,2002,4,184.89999999999998,181.5,198.16666666666666,166.96666666666667,154.03333333333333,175.53333333333333,179.83333333333334,176.86666666666667,220.03333333333333,161.66666666666666,161.26666666666668,159.16666666666666
144,2003,1,185.9666666666667,183.36666666666667,201.23333333333335,166.9,157.33333333333334,176.9,180.53333333333333,178.13333333333333,221.66666666666666,163.76666666666668,162.1,161.66666666666666
145,2003,2,186.6,183.0666666666667,202.86666666666665,165.03333333333333,156.73333333333332,178.23333333333335,181.5,178.93333333333337,225.29999999999998,166.16666666666666,162.4,162.16666666666669
146,2003,3,187.4,184.4333333333333,204.16666666666666,167.5,157.20000000000002,179.83333333333334,182.5666666666667,180.26666666666665,229.26666666666665,169.46666666666667,162.63333333333333,162.5
147,2003,4,188.73333333333335,185.13333333333333,202.83333333333334,172.0,158.23333333333332,182.66666666666666,183.80000000000004,182.5666666666667,227.4,177.83333333333334,163.23333333333332,161.73333333333332
148,2004,1,189.89999999999998,186.70000000000002,204.36666666666667,172.13333333333333,163.06666666666666,183.70000000000002,185.4,184.1,227.6,179.76666666666665,163.8,163.4
149,2004,2,191.70000000000002,188.16666666666666,206.13333333333335,182.9,168.96666666666667,185.96666666666667,186.63333333333333,185.63333333333335,229.36666666666667,181.46666666666667,165.16666666666669,162.96666666666667
150,2004,3,192.76666666666665,189.36666666666665,206.9333333333333,184.73333333333335,170.66666666666666,186.86666666666667,188.36666666666667,186.76666666666665,228.9,183.16666666666666,165.43333333333334,163.9
151,2004,4,194.23333333333335,191.4,206.73333333333335,181.03333333333333,168.46666666666667,188.23333333333332,189.63333333333333,188.20000000000002,244.66666666666666,182.5,165.16666666666666,162.33333333333334
152,2005,1,194.9333333333333,192.36666666666667,208.16666666666666,182.16666666666666,168.9,187.96666666666667,191.30000000000004,189.0,234.4333333333333,184.1,165.4333333333333,163.26666666666665
153,2005,2,195.46666666666667,193.66666666666666,209.39999999999998,182.16666666666666,167.23333333333335,189.9333333333333,192.63333333333333,190.39999999999998,242.20000000000002,185.46666666666667,166.49999999999997,164.63333333333335
154,2005,3,196.19999999999996,196.6,209.26666666666665,182.1,168.1,190.0,194.13333333333333,191.03333333333333,243.4,184.30000000000004,167.33333333333334,165.86666666666665
155,2005,4,197.16666666666666,198.4333333333333,208.96666666666667,183.1,166.66666666666666,191.23333333333335,195.6,192.46666666666667,245.60000000000002,185.1,168.5666666666667,166.86666666666667
156,2006,1,199.0,199.4666666666667,210.6,183.36666666666667,169.6,192.33333333333334,197.13333333333333,194.03333333333333,250.5,185.86666666666667,169.06666666666666,168.9
